Year,Number of Patents Filed,Number of Patents Granted,Number of Patents Published,Number of Patents Granted Y Status,Number of Patents Granted N Status,Number of Patents Granted to Company,Number of Patents Granted to Individual,Number of Patents Granted to Research Organisation
1999,1,0,0,0,0,0,0,0
2000,1,0,0,0,0,0,0,0
2001,3,0,0,0,0,0,0,0
2002,13,0,1,0,0,0,0,0
2003,21,0,0,0,0,0,0,0
2004,10,0,4,0,0,0,0,0
2005,19,0,1,0,0,0,0,0
2006,27,10,13,2,3,2,8,0
2007,23,4,10,1,1,0,2,0
2008,32,11,16,5,0,2,0,0
2009,25,14,18,5,2,6,4,1
2010,11,8,11,3,1,0,2,0
2011,0,8,5,4,0,0,0,0
2012,0,2,3,1,0,2,0,0
2013,0,11,0,5,0,6,0,2
2014,0,19,0,7,2,0,8,1
2015,0,37,0,17,1,14,4,7
2016,2,52,0,22,3,24,6,2
2017,0,0,0,0,0,0,0,0
