Year,Number of Patents Filed,Number of Patents Granted,Number of Patents Published,Number of Patents Granted Y Status,Number of Patents Granted N Status,Number of Patents Granted to Company,Number of Patents Granted to Individual,Number of Patents Granted to Research Organisation
2003,2,,,,,,,
2004,5,,3,,,,,
2005,9,,7,,,,,
2006,17,,11,,,,,
2007,9,,17,,,,,
2008,7,,7,,,,,
2009,3,5,4,5.0,0.0,4.0,0.0,1.0
2010,9,14,6,12.0,2.0,11.0,2.0,1.0
2011,9,21,10,17.0,4.0,14.0,4.0,3.0
2012,7,7,5,7.0,0.0,5.0,0.0,2.0
2013,7,12,7,11.0,1.0,10.0,2.0,0.0
2014,,5,3,4.0,1.0,3.0,1.0,1.0
2015,1,6,3,6,0,6,0,0
2016,3,10,3,8,2,7,2,1
2017,1,8,3,5,3,4,3,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
