Year,Number of Patents Filed,Number of Patents Granted,Number of Patents Published,Number of Patents Granted Y Status,Number of Patents Granted N Status,Number of Patents Granted to Company,Number of Patents Granted to Individual,Number of Patents Granted to Research Organisation
1998,7,0,4,0,0,0,0,0
1999,4,0,4,0,0,0,0,0
2000,11,0,7,0,0,0,0,0
2001,10,0,14,0,0,0,0,0
2002,23,0,14,0,0,0,0,0
2003,17,1,14,0,1,0,0,0
2004,15,0,15,0,0,0,0,0
2005,22,0,26,0,0,0,0,0
2006,30,0,19,0,0,0,0,0
2007,16,1,25,1,0,0,0,0
2008,18,0,20,0,0,0,0,0
2009,11,1,15,1,0,1,0,0
2010,10,25,6,9,16,17,1,6
2011,7,42,12,34,8,27,4,5
2012,32,7,3,1,6,5,1,0
2013,1,36,1,34,2,24,2,7
2014,0,92,0,86,6,73,3,8
2015,0,18,0,18,0,12,0,0
2016,0,7,0,6,1,2,1,0
2017,0,14,0,13,1,11,0,0
2018,0,0,0,0,0,0,0,0
