Year,Number of Patents Filed,Number of Patents Granted,Number of Patents Published,Number of Patents Granted Y Status,Number of Patents Granted N Status,Number of Patents Granted to Company,Number of Patents Granted to Individual,Number of Patents Granted to Research Organisation
1999,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2007,8,0,0,1,7,2,5,0
2008,140,0,0,71,69,55,65,2
2009,277,0,0,154,123,75,136,3
2010,596,0,0,298,298,127,302,14
2011,654,0,0,347,301,173,324,88
2012,1285,0,0,580,697,304,710,80
2013,2016,0,0,917,1096,596,1194,94
2014,2745,0,0,1348,1393,863,1621,217
2015,2719,0,1,1519,1185,889,1442,143
2016,2920,2,0,1450,1462,982,1510,141
2017,57,0,0,29,28,28,24,0
2018,0,0,0,0,0,0,0,0
