Year,Number of Patents Filed,Number of Patents Granted,Number of Patents Published,Number of Patents Granted Y Status,Number of Patents Granted N Status,Number of Patents Granted to Company,Number of Patents Granted to Individual,Number of Patents Granted to Research Organisation
1999,1,0,1,0,0,0,0,0
2000,1,0,0,0,0,0,0,0
2001,2,0,1,0,0,0,0,0
2002,3,0,1,0,0,0,0,0
2003,4,0,5,0,0,0,0,0
2004,7,0,5,0,0,0,0,0
2005,9,0,8,0,0,0,0,0
2006,7,0,6,0,0,0,0,0
2007,5,0,4,0,0,0,0,0
2008,14,0,9,0,0,0,0,0
2009,10,0,10,0,0,0,0,0
2010,7,8,11,7,1,5,1,1
2011,5,14,7,13,1,11,1,2
2012,4,6,8,4,2,3,2,0
2013,2,26,0,25,1,23,3,0
2014,0,2,2,2,0,1,0,1
2015,0,9,0,9,0,9,0,0
2016,0,8,0,6,2,6,1,1
2017,0,8,0,6,2,5,3,0
2018,1,0,0,0,0,0,0,0
