Year,Number of Patents Filed,Number of Patents Granted,Number of Patents Published,Number of Patents Granted Y Status,Number of Patents Granted N Status,Number of Patents Granted to Company,Number of Patents Granted to Individual,Number of Patents Granted to Research Organisation
1999,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0
2008,8,0,0,0,0,0,0,0
2009,19,0,0,0,0,0,0,0
2010,21,0,21,0,0,0,0,0
2011,9,3,34,3,0,3,0,0
2012,1,8,3,7,1,4,1,3
2013,3,4,2,3,1,3,1,0
2014,7,2,4,2,0,2,0,0
2015,8,3,6,2,1,1,1,1
2016,3,3,4,3,0,1,0,1
2017,2,2,3,2,0,2,0,0
2018,0,2,0,2,0,1,1,0
