Year,Number of Patents Filed,Number of Patents Granted,Number of Patents Published,Number of Patents Granted Y Status,Number of Patents Granted N Status,Number of Patents Granted to Company,Number of Patents Granted to Individual,Number of Patents Granted to Research Organisation
1999,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2001,0,0,1,1,0,0,0,0
2002,1,0,0,0,0,0,0,0
2003,3,0,0,0,0,0,0,0
2004,8,0,0,0,0,0,0,0
2005,4,0,0,0,0,0,0,0
2006,4,0,0,0,0,0,0,0
2007,16,0,1,1,0,0,0,0
2008,58,0,0,0,0,0,0,0
2009,86,0,0,0,0,0,0,0
2010,46,52,52,49,3,36,4,9
2011,29,86,84,72,12,0,0,0
2012,35,40,40,36,4,17,4,17
2013,63,0,0,0,0,0,0,0
2014,91,66,67,55,12,25,16,5
2015,88,86,85,77,8,29,8,0
2016,47,119,117,107,7,81,15,14
2017,2,131,134,120,14,78,22,6
2018,0,1,0,0,0,0,0,0
