Year,Number of Patents Filed,Number of Patents Granted,Number of Patents Published,Number of Patents Granted Y Status,Number of Patents Granted N Status,Number of Patents Granted to Company,Number of Patents Granted to Individual,Number of Patents Granted to Research Organisation
1999,0,0,0,0,0,0,0,0
2000,1,1,0,1,0,1,0,0
2001,3,0,0,0,0,0,0,0
2002,6,0,5,0,0,0,0,0
2003,17,1,6,1,0,1,0,0
2004,27,1,13,1,0,1,0,0
2005,25,2,26,2,0,2,0,0
2006,29,3,21,3,0,2,0,0
2007,54,2,37,2,0,2,0,0
2008,82,1,65,1,0,0,0,0
2009,65,0,75,0,0,0,0,0
2010,79,64,67,52,12,34,7,0
2011,67,71,63,55,16,45,1,8
2012,65,60,74,43,17,37,1,0
2013,47,144,61,22,122,103,12,14
2014,38,98,32,22,76,46,3,16
2015,14,87,19,38,48,51,2,6
2016,3,46,11,32,14,2,13,0
2017,0,38,1,34,4,1,0,0
2018,1,1,0,1,0,0,0,0
